title,content,thumb_title,page_number
PLANNED PARENTHOOD: Baby Parts Whistleblowers Get Last Laugh Over Manhattan Abortion Mill,"Think back — WAAAY Back — to just one month after Trump made his famous appearance on the golden escalator. The big story was a hidden camera video exposing Planned Parenthood as discussing the sale of intact baby parts for use by medical research.
His story became a real scandal to Planned Parenthood. The GOP was starting to wake up not just to the fact that they were taking a lot of their federal funding, and dumping it back into the political campaigns that would get Democrats elected.
Worse than their abuse of tax dollars to flip elections was the way they flaunt laws governing what can and cannot be done in an abortion process. Under people like Rubio, these videos were being used to energize a movement that would put Planned Parenthood under the microscope and prompt changes in law.
Enter Kamala Harris, California’s AG, who went out of their way to criminalize that reporting, slapping them with 15 indictments, raiding their apartments and seizing footage, including some that had not been released. It wasn’t until January of this year — a decade later — that California dropped the charges against David Daleiden and Sandra Merritt, despite a Texas court ruling that these videos were in no way ‘deceptively edited’ as the Planned Parenthood people would have claimed.
Fast forward to March of 2025, and the same Manhattan Planned Parenthood site that was featured in the baby parts videos, and you see THIS news:
Planned Parenthood of Greater New York, amid mounting financial pressure, is looking to sell its SoHo building and shutter the clinic there, a move that will leave the nonprofit with no services in Manhattan, the reproductive health care provider told Gothamist.

[…]
“It is a building that requires more and more expensive maintenance, and it’s not designed to support the health care needs of the future,” Stark said of the SoHo building. Planned Parenthood moved into the site in the early 1990s. It once bore the name of the organization’s founder, Margaret Sanger.
The move comes amid financial troubles that have already forced Planned Parenthood to shut down four clinics across the state in recent months, including one on Staten Island, and cut some services. The nonprofit stopped providing abortions after 20 weeks at its Manhattan health center and discontinued the option of deep sedation for IUD placements. — 
This announcement was not lost on David Daleiden, as evidenced in the post he attached to the Gothamist story cited above.
Here is the caption


And here is the video.
Planned Parenthood is shutting down its flagship abortion factory in NYC where it killed and sold preemie-age babies up to 6 months.
Its lead abortionist giggled about selling the livers for $1,500 each—
 tried to suppress this footage for 9 years:
 
— David Daleiden (@daviddaleiden) 
Planned Parenthood is closing a ‘high-volume’ location because they can’t afford the upkeep? Good.
As for Sanger, they should be happy to be distancing themselves from a building bearing her name.
After all, if past connections with slavery are reason enough for being ‘cancelled’ and drummed out of polite society, how much more so would a bigoted Eugenecist like Sanger who saw abortion as a means to social hygeine that would help rid the world of unfit children.
[…]Sanger also embraced eugenics. Although she did not make her eugenicist arguments in explicitly racist terms, she nevertheless worked with those who did, including Klansman and Nazi sympathizer Lothrop Stoddard, author of The Rising Tide of Color Against White World Supremacy.
Before World War II, Stanford University itself had close ties to the eugenics movement, with vocal advocates among faculty members Lewis Terman and Elwood Cubberley as well as Stanford President David Starr Jordan. In the 1930s, the Nazis in Germany relied on California eugenics research and policy to develop their own programs. — 
Oh right.  Klansman AND Nazi.
Funny how those are exactly the favorite guilt-by-association connections the left likes to throw at the right. It’s almost the perfect analog as some guy driving a Volkswagon scrawling a swastika on a Tesla… oblivious of the sordid origin story of his own automobile.",,1
"DOGE Ragers Taking Big ‘L’s, While One Intended Victim Just Racked Up A YUGE Win!","Let this story inspire the courageous to stand strong, and remind the craven and cruel that we’re no longer playing by those COVID-era rules of engagement.
A lot has changed since the Summer of 2020, not only are the tactics of the militant mobs losing their persuasive force and becoming tiresome… the risks they take in playing them have completely changed.
You’ve seen all those stories about people targeting the one car on the market with the most cutting edge tech features… keying the cars, shoving their hands into their butt crack before then wiping it on the car, shooting at them and setting them on fire. Only to discover they’ve been filmed with the car’s own hi-definition camera while it waited in sentry mode.
You’ve heard of the websites organizing and encouraging acts of violence. Owners being doxxed and threatened. Charging stations and dealerships being targeted for acts of vandalism and violence.
The chickens have not taken long to come home to roost for such people, resulting in felony charges, some of which carry a maximum sentence of 20 years. All 3 in this post used an incendiary device, which puts you squarely in the terrorist category. Don’t go looking for THIS Veep to help you raise bail money on that one.
Reduce their bravado to ridicule, and make them wear the consequences of their choices around their necks like an albatross.
Similar story with the rash of SWATing calls that have brought calls of bogus dangerous situation calls that mobilized available police against one conservative influence after another. It’s organized. And it’s a crime.
On one side, we’ve begun to catch at least SOME of the people inciting violence against political targets. But what about people on the receiving end?
Should they cower in fear, like some Tesla owners have already begun to do? If terrorists have used fear to intimidate people into compliance to accomplish one political goal or another, this response guarantees the bad guys will win.
It doesn’t matter if bad guys are lurking behind every bush or not, you have internalized the threat and are doing their work for them in intimidating yourself.
There’s another response.
You know the Data republican account? She’s doing a big part of the legwork for DOGE. She is deaf and mute. She has a life and a husband at home. A data analyst with her background is NOT the kind of person one might normally associate with strength and courage.
But her choices speak for themselves. She and her husband had no interest in finding themselves in the public spotlight. Quite the opposite. Now they, and her husband’s business, have been doxxed.
Threats have been uttered. It became necessary to hire security. Nevertheless, she persisted. And in her case, that phrase actually MEANS something.
She 
 (on X, of course!) describing what happened to her and her husband after they got doxxed this week. To say the attempt backfired is understating it.",,1
ERICKSON: A Few Final Thoughts About Dems Implementing DEI,"It’s outrageous we don’t fully embrace the Woke agenda. If we did we would hear justice ring across the nation.
Here are just a few examples of how our betters fall short not exercising the power they possess. We must give government total power to install justice by force, 24/7. D.E.I. must be forced on the people if we are to have any hope of saving civilization.
Here is the irrefutable evidence we are failing disenfranchised groups throughout the country.
Just look at all the work we need to do! There are so many groups that need protective status, just to go outside!
We must add ethnicity, homelessness, immigration and citizenship status. What about gender expansive students and neurodivergence? And let’s not forget the old standbys: sexual orientation, gender expression and gender identity, all demanding protection from the haters.
Yes, humans vs. humans, we all need protective status, for without the government holding guns to everyone’s heads, we’d be in a world of hate!
How uncivilized.",,1
Old King David Still Kicked Major Demonic Ass!,"You’re not buying the lie that God puts old guys out to pasture, are you? Because there’s nothing — Not ONE thing — in the Book that would back that up.
The Church may think your best days are behind you. Society might be stuffing your mailbox with retirement living ads.
But the God who set a pair of 80yo generals at the head of his army that took the baton from Moses and led Israel into the Holy Land? He isn’t limited by that kind of dead-end thinking.
For many of you within sight of that handshake with the golden watch…? You’re just getting ready to launch. Unless…
Let’s be real. Not everyone who sees God’s invite show up in his mailbox is willing to open it, let alone RSVP.
And you know how God’s Holy Spirit talks to the old guys to light a fire under them, don’t you? It’s right there in today’s reading. Don’t blink or you might miss something.",,1
"Honoring Parents, Pastors & Bosses","Pop quiz: pick a random guy out of a Church and ask him what the Bible says about parents, pastors and bosses, what do you think that answer would be?
Would it be a list of what the parents, pastors and bosses are supposed to do for children, the flock, and the workforce?
Do you know God has a stake in how we live with out parents, or pastors, and our bosses? It’s about MUCH more than just making good little obedient cogs in the wheel of society.
This is SO much bigger than that. If we get this right — REALLY right– we’re in step with God’s plans in building HIS kingdom and changing lives.
Maybe you think YOUR parents, YOUR pastor or YOUR boss is ‘different’… that you are the one-of-a-million that is a ‘special case’ to whom these scriptures do not apply.
You might just be EXACTLY the person who needs to see the good in this passage.",,1
Older Men Should Emulate This Old Man,"How old is TOO old to be used by God? The answer won’t be found in the mileage on your bones, but the speed bumps in your mind.
We’re not talking about senility here. We’re talking about the kind of people that go through life stiff-arming every opportunity until they find themselves looking back on their life and wondering what happened?
If you REALLY want inspiration that today — wherever you find yourself, and whatever situation are staring down — that TODAY is the day to lay down your ‘yes’ to whatever it is that God has in store for the life you’ve got left in schlepping this Third Rock from the Sun, you can hardly do better than to pick this example that most people overlook.
The reason he’s an inspiration may NOT be the one you think.
Prefer to take your show to go with the audio version?
No sweat.
Don’t miss the next show! Subscribe to the podcast on your favorite platform:






Sometimes a picture can inspire in ways that words cant. That’s what art is for. But don’t waste your time with the lame stuff when you can get you hands on the kickass kind:
The PERFECT Gift For The Art Loving Warrior
Dear Fellow Warriors: My new book just dropped, 
. It’s a full color coffee table compilation of my biblical paintings over the last 20yrs. As you know, I don’t depict the biblical men in this book as sweet bearded women but rough troublemakers who shook all of hell’s habitations. It’s a great gift for the male and female scrappy warriors on your Christmas list. Young kids will love it too. 70+ original paintings. 234 pages with the scriptural inspiration behind each painting. It’s a beautiful book.
RECOMMENDATIONS. “One reason I buy Doug’s priceless art is to make bold statements on the walls of my home. Lively discussions come alive to bring home the Gospel messages behind the brushstrokes gifted to Mr. Giles. Pastor Doug’s creativity in canvassing the Biblical perspective is daring and courageous.”

– Captain Robert Reinecker
For bulk purchases (More than 5 copies) we’re offering 50% off list price of $69.95 if you purchase directly from the publisher. Email Skip Coryell at skipcoryell@hotmail.com for this offer.",,1
Rumors Swirl Around Claims Of US Sinking Important Iranian Ship In Red Sea… Here’s What We Know,"Fog of war. That’s the term describing the difficult task of sorting fact from fiction in the midst of a conflict… and there’s plenty of fog in the Middle East at the moment.
With Iran’s proxies kicking into high gear in the region — especially the Houthis who have declared open season on US vessles — Trump has made it clear that Iran will be held personally responsible for any escalation on the part of its surrogates.
With Iran chasing a nuke, and Trump trying to keep them from getting there, we’re fast approaching the ‘find out’ phase of this international conflict, with neither side apparently willing to blink.
Yemen has announced that it is willing to fire on American ships passing through the Red Sea. America has a role in keeping international shipping lanes open. Piracy is not a threat that Trump can easily ignore. Historically, fighting with a militant Islamist nation over issues of piracy is among the earliest martial memories America has as a nation, one memorialized every time we hear the words ‘shores of Tripoli’ sung in the Marines’ Hymn.
With the Houthis forcing our hand again, Trump is directing his attention to the wellspring on which the Islamists have relied… Iran.
Not only have they been working with groups like Hamas, Hezbollah, the Houthis and others to destabilize the region and subvert their rivals giving them access to gear and expertise they could not manage on their own (helping Hamas coordinate the October 7 massacre, for instance), Iran has a history of helping coordinate their efforts, including intel. Even the UN admits this in 
.
It was during action in the Red Sea in January 2024 that 
 bound for the Houthis.
There have been claims of attempted strikes by Yemeni Houthis against American targets, including, this past week, 
. (Unsuccessful.) American forces have struck at Houthi targets, including JPost reports of successfully taking out Yemen’s Security Chief.
The rumor being reported on some social media channels — and some of the news sites that lean heavily on such reports — is that the Americans have sunk a critical new addition to Iran’s fleet… the Zagros. (Examples: 
, 
,   
Launched only in January of this year, the Zagros is an important addition to the navy of a country like Iran that relies so heavily on cyber warfare and disposable guerrilla proxies fighting at arms’ length.
According to information published by Tasnim on January 15, 2025, the Iranian Navy has officially commissioned the Zagros, a combat reconnaissance destroyer, into its fleet. The Zagros destroyer is designed to perform both combat and intelligence missions.

[…]
Intelligence ships, often called spy ships, are specialized naval vessels designed to gather intelligence through sophisticated electronic surveillance and data collection. Operated by navies or intelligence agencies, these ships play a crucial role in national security by intercepting signals, monitoring communications, and gathering information on foreign military operations.
Equipped with advanced technologies, intelligence ships house state-of-the-art antennas and communication systems to intercept a broad range of electronic transmissions. Their satellite communication links enable real-time data sharing with command centers, enhancing situational awareness and decision-making capabilities. While primarily focused on intelligence gathering, these vessels also carry defensive systems for self-protection, ensuring operational safety in contested waters.
Operating in international waters, intelligence ships position themselves strategically to monitor sea and air activity, intercept signals, and observe military exercises. They provide a more focused and sustained intelligence-gathering capability compared to satellites, offering an invaluable asset in modern defense strategies. Many of these ships are camouflaged as civilian vessels to minimize detection and suspicion, blending seamlessly into their environment while performing critical tasks. —
We at ClashDaily will continue to treat this report as an ‘unconfirmed rumor’ until either confirmed or disproven. Unless and until there is confirmation that it has been sunk, we will treat this as another ‘fog of war’ rumor.
That said, the rumor itself is important to the larger story about this conflict. With Trump promising to escalate and make Iran pay a heavy toll, he may take a page from Ronald Reagan’s playbook. Especially if he uses their history of piracy as a justification. Specifically, we are referring to, Operation Praying Mantis, where Reagan sank Iran’s entire navy and bases after an American ship hit an Iranian mine.
If Trump wants to hold back a little so that he’s still got room to escalate, turning a shiny new intelligence gathering ship like this one into a hole in the ocean would go a long way to sending a message that we’re getting a little tired of the Iran regime’s bull***t — especially after Iran hired people to murder Trump before he could take office.
As for escalation? It’s a little difficult for a totalitarian regime like Iran to pay for terrorism from their oil field profits if the entire oil infrastructure has been blown to atoms… isn’t it?
Is that outcome sure to happen? No.
Is it on the table and under consideration?
You could bet your bottom dollar that it is. And a regime whose hold on power in their own country is as shaky as Iran’s has GOT to be running the math on those odds.
Say what you will about the disadvantages of his negotiating style, THIS is where Trump’s unpredictability is a force multiplier in negotiations. It doesn’t have to be a strong possibility that Trump’s wild enough to do it… just that there is SOME possibility.
Exactly the opposite situation that risk-averse Joe Biden had when HE tried to bluff foreign powers, and they wouldn’t so much as answer the phone when he called.",,1
"Hacktivists, The Russia-Ukraine Conflict, X, And The Possibility of WW3","The world of geopolitics is already a minefield of diplomatic tightropes, military posturing, and economic chess games. Add hacktivism to the mix, and suddenly, it’s less a well-orchestrated game of global strategy and more like trying to defuse a bomb while blindfolded—using chopsticks.
The recent 
, originating from a Ukrainian IP address, has set off alarm bells. Is this the work of rogue Ukrainian actors furious about peace negotiations? Or a classic Russian false-flag operation? Or maybe, just maybe, it’s an entirely unrelated third party stirring the pot for their own reasons? Either way, it’s yet another reminder that in the digital age, wars aren’t just fought with bullets and bombs—they’re waged in cyberspace, too.
Since Russia rolled into Ukraine in 2022, hacktivism has become an unofficial front in the war. Ukrainian-aligned groups like the 
 have been launching attacks on Russian infrastructure, hitting everything from government websites to financial institutions.
Meanwhile, 
, the infamous decentralized hacking collective, declared “cyber war” against the Russian government, claiming responsibility for various leaks and service disruptions. These groups operate outside traditional chains of command, driven by ideology rather than state orders. And as peace negotiations tiptoe forward, there are bound to be factions—on both sides—who see compromise as betrayal.
Which brings us to the cyberattack on X. The attack was traced back to a Ukrainian IP, but let’s not kid ourselves—that doesn’t tell us much. Cybersecurity experts know that IP addresses can be spoofed as easily as a high schooler faking a doctor’s note. The 
, which has historically focused on targeting Israeli and NATO-linked organizations, took credit for the attack.
That’s interesting because, on paper, they have little direct stake in Russia and Ukraine’s peace talks. But this is where things get tricky: could Dark Storm be acting as a proxy for another power? Could this be a Russian effort to frame Ukraine? Or an entirely separate party using an ongoing geopolitical crisis as a smokescreen for their own agenda?
Regardless of who’s behind it, the implications are dangerous. A single cyberattack, especially one that disrupts communication or infrastructure, could tank already fragile negotiations. It’s the digital equivalent of lobbing a grenade into a peace summit.
If we’ve learned anything from modern cyber warfare, it’s that false-flag operations are standard practice. Russia has a well-documented history of using cyber tactics to create confusion and misdirection. Their state-sponsored hacker groups—often referred to as Advanced Persistent Threats (APTs)—are notorious for operations that masquerade as hacktivism. 
, a GRU-linked hacking unit, has a long rap sheet of digital sabotage, including attacks on the U.S. Democratic National Committee and European governments. The goal? Sow discord, destabilize narratives, and create plausible deniability.
If Russian actors wanted to slow down or derail Ukraine’s negotiations with the West, launching an attack from a Ukrainian IP address would be a brilliant (if not predictable) move. Western governments, wary of cyber aggression, might second-guess their support for Ukraine if they believed Kyiv was behind a high-profile cyber assault. And if this attack on X isn’t the last—and it won’t be—expect more digital smokescreens designed to confuse, divide, and inflame tensions.
Now, let’s zoom out. The world isn’t just dealing with a Ukraine-Russia cyber problem. Hacktivists, cybercriminals, and state-sponsored cyber terrorists like 
 are thriving in this chaotic environment. And the damages are not limited to public sector, as the recent 
, for example, is just one of thousands of phishing schemes targeting individuals.
Cryptocurrency markets, which President Trump has recently championed, are also under siege, with scams like the
 draining digital wallets faster than you can say “blockchain.” Meanwhile, ransomware gangs like Black Basta are holding businesses hostage, exposing the internal workings of cybercrime syndicates that operate more like Fortune 500 companies than rogue groups of hackers.
This is the new reality: cyber threats aren’t just hitting governments and corporations—they’re trickling down to everyday people. If a hacker group can compromise a major social media platform, imagine what they can do to financial institutions, healthcare systems, power grids, or even small businesses. Cyber warfare is no longer an abstract, futuristic concept. It’s here, it’s happening, and it’s evolving at breakneck speed.
With hacktivism on the rise and geopolitical tensions playing out in cyberspace, here are some possible remedies:
 – Countries need stronger digital forensics capabilities to track and expose real culprits. Without definitive attribution, false flags will continue to muddy the waters.
 – Just as nuclear weapons have strict international oversight, cyber weapons need better global regulation. We’re way past the point of treating these threats as mere “hacker problems.”
– If you think cyber warfare is just a government problem, think again. Businesses and individuals need to be educated on security basics, from avoiding cyber threats to securing digital assets and leveraging online technical support options.
 – The West, and particularly Ukraine, must bolster its cybersecurity infrastructure. Governments should treat cybersecurity as a frontline defense mechanism, not an afterthought.
Hacktivism is no longer just about rebellious teens defacing websites with digital graffiti. It’s a geopolitical weapon, one that can shift narratives, derail peace efforts, and wreak havoc on global security. The recent attack on X is a prime example of how murky the cyber battlefield has become—was it an internal Ukrainian protest, a Russian false-flag, or an unrelated rogue actor? The terrifying answer is: it could be any of the above.
As the world tiptoes toward a resolution in Ukraine, the cyber war will rage on. And unless governments, businesses, and individuals take cybersecurity seriously, we might all find ourselves caught in the crossfire of the next digital attack. Because in the world of hacktivism, peace is just another vulnerability waiting to be exploited.
Julio Rivera is a business and political strategist, cybersecurity researcher, founder of ItFunk.Org, and a political commentator and columnist. His writing, which is focused on cybersecurity and politics, is regularly published by many of the largest news organizations in the world.",,1
"BILL WHITTLE: Autopens, Presidents, And The Fate Of Democracy","You won’t find a lot of interest in the Biden autopen scandal among the journolist hivemind for two reasons — first it embarrasses the wrong party, and second… they don’t think deeply enough to understand the issue let alone engage it.
That’s why Bill Whittle took the time to think through the autopen question, separating the static from the noise, the parts of the story that don’t matter a damn, and the other parts, upon which (in some real sense) the fate of the Republic itself could possibly hinge.
He doesn’t offer any specific remedies by name, but if you listen to his framing of the question carefully, you’ll come away with some great ideas to bring forward to your Congressman or Senators — not the least of which is the quesiton of a chain of custody for each and every occasion the autopen is used.
He takes the time to unpack the ideas and implications carefully so that anyone who has an intuition of this being wrong, but can’t quite articulate ‘why’ will have the language they need to shut down the nonsensical arguments of the lockstep left. 
Bill Whittle is a faithful soldier in the fight, and we love his work. Check out his self-titled website, or the Youtube and/or Rumble channel under his own name for more of his work.",,1
Why ENORMOUS Judgment Against Greenpeace Should Have Dem Dark Money In A Cold Sweat,"This should be especially bad news for any of the dark-money groups that have quietly been ramping up violence against politically expedient targets — say, Tesla, for example.
What could a North Dakota jury judgment handed down against Greenpeace over a pipeline have to do with dark money politics-for-hire across the country? Quite a lot, actually.
At issue were the pipeline protests in North Dakota like the one where environmental activists cared so DAMNED much about the land that it took a state of emergency and the Army Corps of Engineers to avert an environmental catastrophe:
“Warm temperatures have accelerated snowmelt in the area of the Oceti Sakowin protest camp … Due to these conditions, the governor’s emergency order addresses safety concerns to human life as anyone in the floodplain is at risk for possible injury or death,” said the statement.
However, “the order also addresses the need to protect the Missouri River from the waste that will flow into the Cannonball River and Lake Oahe if the camp is not cleared and the cleanup expedited,” the statement read.
…Just how much waste and trash did the environmentally conscious DAPL protesters leave? “Local and federal officials estimate there’s enough trash and debris in the camp to fill about 2,500 pickup trucks,” reported AP. — 
Not surprisingly, months-long protests are chosen because they can cause both damage and harm, depending on the group, the tactics, and their intent.
The owner and operator of the pipeline, who lost an enormous contract as a result of their actions, took the protesters to court. They suffered serious financial harm and those who caused it should bear the responsibility for making them whole. Modern notions of protest notwithstanding, that’s how the court system was designed. When they took Greenpeace and the Red Warrior Camp (who the plaintiff claimed was their proxy) to court on exactly this principle, the jury agreed.
After two days of deliberation, the New York Times reported, the jury returned the verdict. Energy Transfer, the owner and operator of the pipeline, filed the lawsuit in North Dakota state court against Greenpeace and Red Warrior Camp, which Energy Transfer claimed was a front for Greenpeace, and three individuals. 
The lawsuit alleges that Greenpeace had engaged in a misinformation campaign with mass emails falsely claiming that the Dakota Access Pipeline would cross the sovereign land of the Standing Rock Sioux Tribe. In court filings, Energy Transfer claimed protesters engaged in a campaign of “militant direct action,” including trespassing on the company’s property, vandalizing construction equipment, and assaulting employees and contractors. —
This comes at a very bad time for violent leftwing activists. For years, the establishment left has been somewhere between indifferent to, or even happy to see violence on the streets, so long as that violence aligns with causes on the political left.
You never hear the kind of breathless language they establishment use when describing, for example ‘the Proud Boys’ when they describe, say, Antifa, BLM, Jayne’s Revenge (violent abortion activists), Palestinian Protesters, trans extremists, or (now) anti-Tesla crowds embracing forms of violence ranging from rioting on the streets, storming a building and threatening a young woman inside it, holding universities hostage, or vandalizing/firebombing Christian pro-life institutions, threatening churches, or most recently attacking anyone or anything with a Tesla connection.
The one thing so many of these movements including the current organized attacks against Tesla — have in common is copious amounts of financial backing. Efforts like what we have seen in DOGE, not to mention an FBI interested in prosecuting such crimes instead of helping them raise bail money — will be a game-changer on the investigation side of this problem.
AG Bondi, and those working with her have made it clear that investigating these firebombings (and the SWAT-ings) will be treating the use of incendiary devices under statutes listing such actions as a federal crime punishable by up to 20 years in prison.
If the logic of this Greenpeace case is extended to culpability of the Dark Money orgs who have been using third-party agitator groups as arm’s-length shock troops for hire that give them a plausible deniability…
… this North Dakoto ruling may set a precedent that says otherwise. One that other groups who have been harmed by political activism over the last number of years might play ‘follow the money’ with in seeking the redress of their harms.
Elon seems to think the breadcrumbs for a lot of the dark money issues will take us back to familiar names like ‘Act Blue’ or ‘Arabella Advisors’. If the early clues at DOGE, and the mayhem unfolding at Act Blue are any indicator, he could be on to something there.
It would take some imaginative thinking to come up with deterrents to a purely mercenary cause-of-the-day agitator group than the twin prongs of drying up the money supply and dropping the perpetrators in a hole where they can be completely forgotten about by society for a decade or two.
And if the feds draw the same inference with criminal culpability that the jury in North Dakota just did? Those media establishment types who were publicly giddy about Biden’s use of RICO statutes to take down Trump will soon be choking on their words and looking to bury records of their public statements cheering the Trump team prosecutions.",,1
First 40 Days,"The 45th President learned a few things in his first term, and used the ‘wilderness experience’ of the Biden Admin to make his SECOND term REALLY count.
Forty days in, we can evaluate how Trump did on executing the plan that drove his 2024 campaign, and won over even many of the most unlikely demographics to his cause.
How did he do? The ‘come in like a wrecking ball’ promises, to salt the ground from which many worthless, wasteful, and unaccountable government departments spring, and to expose the freeloaders and frauds who have been fleecing the taxpayer for personal gain for who and what they really are. 
Was he able to advance that plan despite the best efforts of the activist left and their friends and allies in the media, deep state, and some courthouses to derail him?
And how do we like what we’ve seen so far, from a Christian perspective?
That’s today’s Warriors & Wildmen topic.
Prefer to take your show to go with the audio version?
No sweat.
Don’t miss the next show! Subscribe to the podcast on your favorite platform:






As for the Trump art Doug was talking about? Here you go.
This 
is the victory lap that conservatives have been waiting for since 2020. This hard-cover, full-color glossy collection by conservative painter, Doug Giles, will entertain you for hours on end and quickly become a valuable collector’s item as an icon of the MAGA movement.
“I’ve had a blast painting my 
 over the last seven years. Several of these paintings made me laugh so hard that milk came out of my nostrils, and I haven’t had milk for thirty-six years. These epic paintings now reside in bars, hunting camps, man caves, she sheds, trophy rooms, and God and Country MAGA homes from sea to shining

sea.
One word of warning before you purchase this 
: This book will spawn liberal tears, Marxist rage, and NeoCon hissy fits, of course.
Finally, I hope you thoroughly enjoy this DJT gaggle of my gadfly oil paintings.” God bless, and stay rowdy. Doug Giles",,1
BEN & JERRY’S CEO FIRED: Cancel Culture Warrior Gets Taste Of Own Medicine,"When culture warriors become literal corporate sell-outs, they shouldn’t be surprised when the laws of economics come and bite them in the ass.
There’s a reason ‘go woke go broke’ has become axiomatic. Even institutions as big as Disney and Bud Light have learned they are not too big to feel the sting of a spurned public returning the favor.
As for politics, there aren’t many corporate political attention whores louder than Ben and Jerry’s ice cream.
Ben & Jerry’s sold their company to Unilever in 2000, with the expectation that they could continue their political grandstanding. It looks like, 25 years later, reality has finally caught up with them.
In a legal complaint filed in the US District Court for the Southern District of New York on Tuesday night, Ben & Jerry’s alleged that Unilever dismissed chief executive David Stever after he failed to comply with the parent company’s efforts to prevent it from speaking out on political issues.
“Unilever has repeatedly threatened Ben & Jerry’s personnel, including CEO David Stever, should they fail to comply with Unilever’s efforts to silence the Social Mission,” the filing read.
“On March 3, 2025, Unilever informed the Independent Board that they were removing and replacing Mr. Stever as Ben & Jerry’s CEO.” — 
A related case, from 2024, detailed the fights over Ben & Jerry’s fighting for the right to push their pro-Palestine, Anti-Israel positions, including donating money to groups like CAIR, who was once named 
The old CEO has now been fired, and the case cited above involves claims that Unilever is attempting to disband the activist group steering B&J’s activism. The subsidiary is taking the case to court. Again.
It said Unilever chastised Stever in a January performance review for “repeatedly acquiescing” to Ben & Jerry’s promotion of social goals, and has repeatedly warned personnel not to defy its efforts to “silence the social mission.”

Ben & Jerry’s also said Unilever’s attacks on its social mission have reached “new levels of oppressiveness.”

It said Unilever blocked it in February from honoring Black History Month, and more recently from supporting the release from detention of Mahmoud Khalil, a U.S. legal permanent resident active in pro-Palestinian demonstrations at Columbia University and who the Trump administration wants to deport. —
He gives a big thumbs-up to using financial pressure to force countries to bend to his will, and it doesn’t occur to this clown that his own obnoxious petulance can trigger the same response against the brand he claims to represent? Or that 25 years of this increasingly radical activism could poison all value of the brand to the company that bought it in the first place, turning it into a potential net-negative for the company’s bottom line?
The are literally aligning themselves with groups and individuals affiliated with designated foreign terror groups.
It hardly a zero-risk association for the parent brand. Especially seeing how little patience the public had with Bud Light.
Conservatives and independents probably don’t buy much Ben and Jerry’s anymore. But there are a whole host of OTHER products and brands that could hang in the balance if a backlash was triggered.
And that outcome is 
 beyond the realm of possiblity. Not at all.",,1
Trump Unleashing Autopen Nightmare Against Biden’s NeverTrump Cabal,"All that pretending like Biden was cognitively fit to serve as POTUS is about to backfire… Bigly.
There were rumblings in recent days that the Biden Autopen story would set up a constitutional crisis. Now, it has endangered the very people it was intended to protect.
First, it was noticed that the signatures on some of his orders were identical. That’s a problem, pointing to the use of an autopen. Making matters worse, some of Biden’s orders were signed while he was out of town. That’s a pretty serious problem.
Not to mention that Joke Biden was in the Virgin Islands when ""someone"", in Washington DC, used autopen to sign those pardons. 
— Linda Traitz (@LindaTraitz) 
 
The Constitution required the president to be personally involved and present:
Is the ""autopen"" allowed for presidential pardons? NO!
The ""autopen"" is NOT constitutionally protected because it requires the president to be present at the signing of the pardon.
Joe Biden was on vacation in another state when the pardons were signed. 
 Your Move? 
— Craig J6 (@Craig_J6) 
 
Needless to say, Trump has been feeding the memes since this came to light with social media posts like this one.
And getting in on them himself:
All joking aside, this has very serious implications for people who may have been abusing their authority to the detriment of other people. Especially those who may have thought they were free and clear, as explained in 
.
The potential consequences are bad enough for the Biden Crime family, and the bad actors in his administration who thought they need never pay a price for all they have done.
But with today being the day that no less than Dan Bongino is being sworn in as Kash Patel’s deputy, with a LOT of questions he still wants answered about Russiagate, the Jan 6 committee hearings, the pipe bomb, and other questions that had been quietly swept under the rug…
This clip is from Dan Bongino’s Friday show 2/21/25. Which is exactly 2 days and 6 hours before Trump announced he will be the Deputy Director of the FB👁️. 
If you were wondering if he and Kash will hold anyone accountable for Russiagate, watch this…🔥🔥🔥
Schiff’s going down.… 
— Charlene 4.11🇺🇸🍑 (@Kenneth55389509) 
 
Liz Cheney and Co having their immunity evaporate, and possible Obstruction of Justice exposure open up for them is absolutely delicious irony.
And who knows? General Milly has a lot to answer for himself.
Little Lord Fauci’s name is among the autopen pardons, too.",,1
