category,text
entertainment,controversial film tops festival a controversial film starring hollywood actor kevin bacon as a convicted paedophile won top honours at the london film festival on thursday.  the woodsman won the satyajit ray award  named after the indian director. the low-budget film  directed by nicole kassell  is about a convicted child molester trying to rebuild his life after 12 years in jail. judges said the film tackled the contentious subject with  great insight and sensitivity . previous films to take the prize include the oscar-winning boys don t cry  which was about the true life story of murdered transsexual brandon teena.  british writer-director amma asante won the uk film talent award this year for her debut feature a way of life. set in south wales  the film is about a teenage single mother who becomes embroiled in a tense stand-off with a turkish neighbour. also on thursday night  the fipresci international critics awards went to aaltra  a belgian film about the handicapped; and the sutherland trophy  which was won by jonathan caouette for his film tarnation. the festival closed with a screening of the film i heart huckabees  starring jude law and dustin hoffman and directed by three kings film-maker david o russell. the festival this year also included the first european screening of the new pixar animation the incredibles  and the british film bullet boy  starring so solid crew rapper asher d.
entertainment,cult band kasabian surge forward indie dance band kasabian built up a cult following throughout 2004 to secure three brit award nominations.  the four-piece leicester band blends dark electronics with rock  earning kasabian places on the best british group  rock act and live act shortlists. they have also earned a reputation as outspoken and charismatic  in contrast to fellow brit nominees such as keane and snow patrol.  british music needs a kick up the arse and britain needs a new band to breathe life into the british people again   declared kasabian s singer tom meighan.   no-one s doing it at the minute. music feels like it s in the afterlife right now. we don t want people to give up on it.  the serpent s going to rise from the sea and scare all the pirates away!  meighan grew up in leicester with kasabian songwriter/guitarist sergio pizzorno and bassist chris edwards  a trio which began making music from the age of 17.  they enlisted guitarist and keyboard player christopher karloff after spotting him in a pub.  we saw his long sideburns and thought  hey  he looks the part  we ll ask him    said meighan. inspired by britpop and a mutual love of hardcore  an early 1990s genre that fused house music with hip hop beats and a dark sensibility  they added an electronic element to the traditional guitar sound.  we got a computer and we cut rock n roll up  because there s no point in going back to how it was   said meighan.  it s all about new ideas and creativity.   the band s original approach is reflected in its name  inspired by linda kasabian - the getaway driver of us serial killer charles manson. coincidentally it is also the armenian term for  butcher . kasabian moved into a remote farmhouse in rutland to record their debut album  benefiting from its isolation but also managing to sneak in a few parties while they were there. signed to the rca record label  kasabian tested the water with two singles  club foot and lsf  which reached numbers 19 and 10 in the uk singles chart respectively.  they built up their following on the summer festival circuit  opening both glastonbury and t in the park  and at a series of  guerilla gigs  at unusual venues including half time orange  a pub next to leicester city football club s headquarters. kasabian s self-titled album was released last september to widespread critical acclaim  its indie dance stance drawing comparisons to the stone roses  primal scream and the happy mondays.  regarding it as  both a fiery assertion of rock  n  roll ethics and proof that a siege mentality is alive and well in the badlands of rutland water   the nme s praise was typical of the album s reception. as 2004 progressed kasabian would score a further two hits - processed beats and cutt off - and embark upon a well-received uk tour.  we take our music seriously  definitely  but we want to have fun with it   said pizzorno.  this is not a job to us   added meighan.  this is the best life we could ever have. this is what it s all about and without it we d be lost souls. but music needs us as well.
entertainment,rapper kanye west s shrewd soul us hip-hop star kanye west - who leads the race for this year s grammys with 10 nominations - rose to prominence by producing songs for artists such as jay-z and alicia keys.  he then emerged from his behind-the-scenes role to become an artist as well as a producer. but his solo career almost ended before it began after a near-fatal car crash left west with his jaw wired shut in 2002. the resulting song  through the wire  became west s first uk hit in april 2004 and subsequent album the college dropout became a transatlantic success  both critically and commercially. west  26  began rapping as a teenager at his chicago school  inspired by the beats and rhymes of 1980s pioneers run dmc.  hip-hop producer no id encouraged west to sample old soul and r&b hits then revive them with an updated sound  an approach that would become his trademark.  i feel like a lot of the soul that s in those old records that i sample is in me   he said.  so when i hear them and i put them with the drums and i bring them to the new millennium  it s just like god s doing that. i m one with them records right there. it s a blessing.   leaving his chicago art school after only one year - a move which would later inspire the title of his album - west began his music career co-producing songs for artists mase and the madd rapper. this drew the attention of superstar rapper jay-z  who signed west up to his roc-a-fella record label to produce numerous artists on his roster. west s work gained mainstream recognition when he produced the singles takeover and izzo (hova) on jay-z s own 2001 album blueprint. incorporating samples of five to one by the doors and the jackson five s i want you back respectively  the hits were credited with injecting soul back into hip-hop.  as their success attracted further production work for jay-z ( 03 bonnie & clyde) and artists such as ludacris (stand up) and alicia keys (you don t know my name)  west announced plans for a solo album. driving home from a late-night los angeles recording session in october 2002  he was involved in the car crash that left his jaw fractured in three places.  anytime i hear about any accident my heart sinks in and i just thank god that i m still here   he later said.  that steering wheel could have been two inches further out  and that would have been it.   west s account of the accident sampled chaka khan s hit through the fire to become the heart of his completed solo album the college dropout. released last year  it was by turns smooth  humorous and sharp and largely avoided the clich&#233;d hip-hop preoccupation with guns  girls and jewellery.  through the wire was quickly joined in the uk and us charts by slow jamz  on which west collaborated with rapper twista and ray actor jamie foxx. the college dropout spawned two further uk hits and a string of award nominations. west was shortlisted for 10 grammys - including nominations for artist and album of the year - and took the best hip-hop artist  producer and album titles at last year s music of black origin (mobo) awards. now a respected rapper and producer in the influential field of hip-hop  kanye west is unlikely to regret his decision to leave college early.
entertainment,housewives lift channel 4 ratings the debut of us television hit desperate housewives has helped lift channel 4 s january audience share by 12% compared to last year.  other successes such as celebrity big brother and the simpsons have enabled the broadcaster to surpass bbc two for the first month since last july. bbc two s share of the audience fell from 11.2% to 9.6% last month in comparison with january 2004. celebrity big brother attracted fewer viewers than its 2002 series.  comedy drama desperate housewives managed to pull in five million viewers at one point during its run to date  attracting a quarter of the television audience. the two main television channels  bbc1 and itv1  have both seen their monthly audience share decline in a year on year comparison for january  while five s proportion remained the same at a slender 6.3%. digital multi-channel tv is continuing to be the strongest area of growth  with the bbc reporting freeview box ownership of five million  including one million sales in the last portion of 2004. its share of the audience soared by 20% in january 2005 compared with last year  and currently stands at an average of 28.6%.
entertainment,lit idol begins search for author the second pop idol-style search for literary talent has begun with the help of the brother of simon cowell.  writer tony cowell is among the judges who will hear aspiring writers read their work aloud. the winner gets a deal with literary agency curtis brown.  i m not going to be the mr nasty of books   said cowell  54  in reference to his brother s caustic remarks on tv shows pop idol and the x-factor. the 2004 winner  paul cavanagh  went on to sign a deal with harper collins.  this year  the competition is specifically looking for a crime writer. writers must submit up to 10 000 words from the opening chapters of their novels and a synopsis. professional readers will choose a shortlist of five following the competition closing date on 14 january.  the final five will then have to read their work in front of judging panel. a public vote will also take place  which will account for 25% of the final decision. the winner will be announced at the london book fair on 14 march next year and could be screened on tv.  it s very  very hard to find an agent and extremely difficult  without an agent  to get a publisher to look at your work   said cowell.  people do fall by the wayside and the more avenues we can provide for aspiring authors  the better   he added. paul cavanagh  a former university professor and health care consultant from ontario in canada  was one of 1 466 aspiring novelists to enter the first contest. he lifted the inaugural lit idol prize after reading aloud an excerpt of his work northwest passage. three film studios are said to be interested in buying film rights for the book  even though it is not finished yet.
entertainment,rapper jay-z becomes label boss rap star jay-z is to become a record company executive after being put in charge of one of hip-hop s most influential labels  def jam.  jay-z  who said he would make no more music after 2003 s the black album  will become the company s president and chief executive from january. def jam s parent company  universal  made the appointment after buying jay-z s roc-a-fella label. def jam s artists include ll cool j  dmx  ludacris  ja rule and ashanti. jay-z will continue to run roc-a-fella  which he founded with damon dash in 1995 and has kanye west and beanie sigel on its roster. universal said on wednesday it had bought the 50% of roc-a-fella it did not already own.  antonio  la  reid  chairman of the island def jam music group  said:  i can think of no-one more relevant and credible in the hip-hop community to build upon def jam s fantastic legacy.  he hoped jay-z would  move the company into its next groundbreaking era   he added. jay-z  real name shawn carter  said:  i have inherited two of the most important brands in hip-hop  def jam and roc-a-fella.   i feel this is a giant step for me and the entire artist community.  one of the most successful and respected rap stars of the last eight years  jay-z s hits have included hard knock life  dirt off your shoulder and 03 bonnie and clyde with his girlfriend beyonce knowles. he said he would retire after the black album  but has just released an album and been on an ill-fated tour with r kelly. def jam was founded in 1984 by russell simmons and producer rick rubin and signed artists including run-dmc  the beastie boys and public enemy.
entertainment,berlin hails european cinema organisers say this year s berlin film festival  which opens on thursday with period epic man to man  will celebrate a revitalised european cinema.  of the 21 films in competition for the golden and silver bear awards  more than half are from europe with france particularly well represented. festival director dieter kosslick says this strong showing signals  a new consciousness for european films .  they re on an incredible winning streak   he told the reuters agency.  this isn t to say there aren t any good american films   he continued.  it s just that there are more good european films.   however  mr kosslick refused to accept that widespread opposition to the iraq war had turned audiences against hollywood imports.  there is no anti-american mood   he said. some 350 films will be screened at this year s festival  with a further 300 shown at the european film market that runs alongside it. more than a dozen celebrities are scheduled to attend  among them will smith  kevin spacey and keanu reeves. but mr kosslick says more would be coming had the academy awards not been brought forward to 27 february.  i m not worried that we won t be able to fill the red carpet with stars   he said  though he admitted the festival may be moved to january next year to avoid a similar clash. the 10-day berlinale runs until 20 february.
entertainment,byrds producer melcher dies at 62 record producer terry melcher  who was behind hits by the byrds  ry cooder and the beach boys  has died aged 62.  the son of actress doris day  he helped write kokomo for the beach boys  which was used in the movie cocktail  earning a 1988 golden globe nomination. he also produced mr tambourine man for the byrds  as well as other his such as turn  turn turn. melcher died on friday night at his home in beverly hills  california  after a long battle with skin cancer. he joined columbia records as a producer in the mid-1960s  and also worked with gram parsons and the mamas and the papas.  earlier in his career  melcher had hits as part of duo called bruce & terry  with future beach boy bruce johnston  which evolved into the rip chords group. melcher also worked closely with his mother  producing the doris day show and helping to run her charitable activities. in 1969 his name became linked with the charles manson murders  which saw the deaths of actress sharon tate and four of her friends at a home which melcher once rented. rumours circulated that melcher - who knew manson - was the killer s real target  because he had turned him down for a record contract. but los angeles police discounted the rumours  pointing out melcher had moved to malibu  and manson knew of his new address.
entertainment,animation charms japan box office oscar-winning director hayao miyazaki s latest film has set a new japanese box office record  with 1.5bn yen ($14.3m) in two days  according to reports.  howl s moving castle is the follow-up to miyazaki s spirited away  which won best animation at last year s oscars. it is based on the children s book by english writer diana wynne jones. it has registered the highest opening weekend takings of any japanese film in the country  according to trade publication screen daily.  the film is about an 18-year-old girl who is trapped in an old woman s body after being put under a spell by a witch. its two-day takings represented 1.1 million cinema admissions  screen daily said. the film s distributor toho expects 40 million people to see it in total - almost one third of the country s population - it added. the film won the golden osella for outstanding technical contribution at this year s venice film festival.
entertainment,slater to star in broadway play actor christian slater is stepping into the role of tom in the broadway revival of the glass menagerie.  slater  35  is replacing actor dallas roberts in the tennessee williams drama  which opens next month. no reason was given for roberts  departure. the role will be played by understudy joey collins until slater joins the show. slater won rave reviews for his recent performance in one flew over the cuckoo s nest in london s west end.  he has also starred in a number of films  including heathers  robin hood: prince of thieves and more recently churchill: the hollywood years. preview performances of the glass menagerie will begin at new york s ethel barrymore theatre on thursday. philip rinaldi  a spokesman for the show  said the play s 15 march opening date remains unchanged. the revival  directed by david leveaux  will also star jessica lange as the domineering mother  amanda wingfield.
entertainment,film production  falls  40% in uk the number of british films produced in the uk fell 40% in 2004  with movies starring johnny depp and jude law among those affected  screen daily has said.  twenty-seven british films were made in the uk last year following a drop in funding  compared with 45 in 2003  according to the trade weekly. it attributed the drop to tighter tax laws and reduced funding from sources such as the national lottery. uk and us co-productions in britain fell from 102 in 2003 to 81 last year.  last year the government closed tax loopholes that many film investors had taken advantage of to fund films in the uk. several projects were shelved as they faced the implications of this clampdown  coupled with the reduction in movie funding from traditional sources including the lottery and miramax films. shooting on period drama tulip fever  which was to star jude law and keira knightley  was postponed indefinitely while shooting of the libertine starring johnny depp was moved to the isle of man.   there isn t anything coming in to replace (the funds)   said the libertine s executive producer marc samuelson.  we are in a hiatus.  films with  medium  budgets of up to £9m  a similar level to box office hits vera drake  calendar girls and enduring love  are expected to be worst hit by the tax clampdown. the strength of the pound against the dollar is expected to have resulted in a fall in the number of us films shot in the uk during 2004  screen international added. big budget co-productions  such as the harry potter series  continued to be shot in the uk  however. the uk film council said the drop was partly due to 2003 being an especially good year for british film production  when bridget jones: the edge of reason  wimbledon and thunderbirds were all filmed in the uk.   the drop was expected as there was no way 2003 s record level of production could be bettered   the council s spokesperson said.  the reduction in indigenous film production in 2004 was due to a variety of factors  including the continuing long-term trend towards co-production of films in more than one country and changes to financing arrangements.  it was  too early  to predict whether the downward trend in uk production would continue throughout 2005  the uk film council said. in september the government introduced subsidies worth up to £4m per film for medium budget films  under new treasury measures. it is also due to announce a replacement for uk film tax relief scheme section 48 in july.
entertainment,hillbillies singer scoggins dies country and western musician jerry scoggins has died in los angeles at the age of 93  his family has said.  scoggins was best remembered for singing the theme tune to popular us tv show the beverly hillbillies. the texan-born singer approached the producers of the programme with theme tune the ballad of jed clampett for the pilot which was screened in 1962. the show  which told the story of a poor man striking oil and moving to beverly hills  ran until 1971.  scoggins  daugher jane kelly misel said that her father never tired of the song and would sing it at least once a day.  he d sing it at birthdays and anniversaries and variety shows. he never stopped performing it   she said. when a film version of the beverly hillbillies was made in 1993  scoggins came out of retirement to perform the theme tune. scoggins sang the lyrics while bluegrass stars lester flatt and earl scruggs played guitar and banjo.
entertainment,bennett play takes theatre prizes the history boys by alan bennett has been named best new play in the critics  circle theatre awards.  set in a grammar school  the play also earned a best actor prize for star richard griffiths as teacher hector. the producers was named best musical  victoria hamilton was best actress for suddenly last summer and festen s rufus norris was named best director. the history boys also won the best new comedy title at the theatregoers  choice awards.  partly based upon alan bennett s experience as a teacher  the history boys has been at london s national theatre since last may. the critics  circle named rebecca lenkiewicz its most promising playwright for the night season  and eddie redmayne most promising newcomer for the goat or  who is sylvia   paul rhys was its best shakespearean performer for measure for measure at the national theatre and christopher oram won the design award for suddenly last summer. both the critics  circle and whatsonstage.com theatregoers  choice award winners were announced on tuesday. chosen by more than 11 000 theatre fans  the theatregoers  choice awards named us actor christian slater best actor for one flew over the cuckoo s nest. diana rigg was best actress for suddenly last summer  dame judi dench was best supporting actress for the rsc s all s well that ends well and the history boys  samuel barnett was best supporting actor.
