Headline,URL,Year,Content
Dying in a Corridor – NHS Today and Then,https://www.dailysquib.co.uk/health/27037-dying-in-a-corridor-nhs-today-and-then.html,2018,"The NHS was once only available to British citizens, however today it is the world’s health service.
With an ageing population, massive unfettered migration, and NHS tourists from all over the world, what hope is there for a health service that despite billions plowed into the bottomless black hole of annual funding, is dying a horrible death?
To die in a corridor is the best most people can get these days, where the neglected thirsty patient checks out of this world, not with care but with the sacrifice of care.
Hospital operations cancelled, as the  Nigerians  fly into Heathrow to deliver quintuplets for free, then fly back to Lagos never to be heard of ever again. Of course, the taxpayer foots the bill for each episode of  NHS tourism .
The opening of the gates for every  Romanian and Bulgarian  to come over to Britain and use up the NHS for free was another watershed moment in NHS history. Literally overnight, wards were full to brimming with gypsies, and EU’s poorest people demanding treatment. No wonder your neglected grandfather, who fought in the war is left to fend for himself in an NHS corridor as he calls for a nurse but is ignored.
The irony is that Britain’s socialists introduced the NHS into being, yet under Tony Blair and Gordon Brown’s watch it was destroyed by the introduction of mass unfettered migration from Europe and the Third World, policies that Labour enacted.
By the intense population growth brought on by Labour, there is no room at your GP’s surgery, no room left in A&E, and no room for urgent medical attention at your local hospital. That’s because although there has been a large population increase caused by Labour, there has not been the funding, infrastructure change to compensate for the massive speedy increase.
Britain must have immigration, but it must be controlled. This is where the socialists have erred, and this is why they have ruined their own creation — the NHS.
Healthy, sustainable immigration, where the incoming population is vetted by profession, and integration value is the key to success, unfortunately, Britain has the opposite where most migrants from the poorest parts of Eastern Europe are unskilled, do not work and are a burden on Britain’s benefits system.
As your relatives lie dying and uncared for on some trolley in a hospital corridor, think on this, somewhere else in the same hospital, a possible NHS tourist or other migratory statistic is taking up their bed and care.
The NHS: created by Labour, and unceremoniously killed off by Labour."
Boat Full of Refugee American Doctors Rescued Off Coast of Guatemala,https://www.dailysquib.co.uk/health/4378-boat-full-of-refugee-american-doctors-rescued-off-coast-of-guatemala.html,2013,"Local news crews interviewed the doctors after their arduous journey.
“We set sail from San Diego two weeks ago. We had some basic rations with us, but we had to get away from the Obamacare. If I have to treat that many people in one day for peanut pay I would go insane in two days. It ain’t right, I didn’t go to Med. school all those years to be a low pay dog’s body. A group of us got this little rust bucket and jumped in it to escape America,” Dr. Barry Soto, recalled.
According to the surviving refugee doctors some of their colleagues did not make it during the harrowing journey and had to be thrown overboard for the sharks.
“It was either the sharks back home or in the sea. They chose the sea, bless their souls,” a brain surgeon from Los Angeles told rescuers.
Captain Fernando Guatirez, for the Guatemalan Lifeboat Service told reporters about the rescue: “We rescued the gringos they were floating in the sea in a boat that even our refugees would not venture on. Those crazy gringos were fleeing America. I had to pinch myself to believe it.”"
Miley Cyrus Doctor Visit Goes Well,https://www.dailysquib.co.uk/health/4396-miley-cyrus-doctor-visit-goes-well.html,2013,"“She came into my office and her tongue was hanging out throughout the time she was there. I didn’t even need to ask her to stick her tongue out. I wish all patients were like her,” Dr. Donald Epstein of the Beverly Hills Health Center told the LA Sun newspaper.
According to reports, the pop starlet has a few nasty things growing on her tongue, possibly due to over exposure.
Health expert, Gerardo Hernendez said: “If you’re going to expose your tongue all day in the public, the surface will attract all kinds of bacteria, and fungus. From initial tests, Ms. Cyrus has 12 different types of fungi growing on her tongue, some of which could be toxic. Heck, we’ll probably see mushrooms growing on that thing soon, or maybe slimy mold.”"
Gordon Brown to Become Dentist,https://www.dailysquib.co.uk/health/2954-gordon-brown-to-become-dentist.html,2011,"The former PM is said to be delighted to have qualified as a dentist and will practice dentistry in his old constituency.
“My new dental practice will be unique, because I will forbid the use of any form of anaesthetic whilst I am digging through your gums with a rusty drill bit,” the former PM told a local newspaper.
Mr Brown is eager to make every patient feel like they are in a cabinet meeting or stuck in the ex-PM’s private office during his tenure as prime monster.
“We’re already booked up. Some people are even crossing the border to get treatment from Brown. Our best client so far is some chap called Tony. He’s got a dazzling smile, or should I say, he used to have a dazzling smile, until the dentist got to work on him with those pliers,” Mr Brown’s receptionist said from the surgery.
Luckily for the residents on each side of Mr Brown’s dental surgery, the soundproofed walls will drown out the screams and tortuous wailing of his patients."
Daily Squib Staff to Man Swine Flu Hotline,https://www.dailysquib.co.uk/health/1884-daily-squib-staff-to-man-swine-flu-hotline.html,2009,"“Stop being such a stupid hypochondriac twat. Just take an aspirin and you’ll be fine in the f * cking morning. You’ve just got a bloody temparature and sore throat you silly fool,” a Daily Squib staffer shouts down the phone line as another hysterical Swine Flu sufferer calls in.
It’s just another day on the Daily Squib’s Swine Flu Hotline as the staff yell at the freaking out media frenzied callers.
“Someone just called in after reading the Daily Mail,” Joe tells Billy, “Oh, not another one. Put the stupid bugger through then,” the yelling down the phone line begins in earnest as the caller is told to calm down and stop reading the Daily Mail.
“We’re mostly getting Daily Mail readers calling in, obviously they’re so scared that most of them can’t even string a coherent sentence together anymore, they just blubber,” Caroline, who works on the switchboard explains.
On a busy day, callers into the Swine Flu Hotline can number in their thousands, so this is why the Daily Squib has been asked to help, we have the resources and know how to deal with the public in the proper manner.
To call the Swine Flu Hotline dial this number immediately 09999 999 999 –  calls will be charged at £75.99/minute – you do not need to ask the bill payers permission"
The Internal Organ Removal Diet that Can Help You Stay Slim Forever,https://www.dailysquib.co.uk/health/2088-the-internal-organ-removal-diet-that-can-help-you-stay-slim-forever.html,2010,"If you answered ‘yes’ to any of the above, and you’re dreading starting another well-intentioned New Year weight loss programme that you know is doomed to failure almost before it’s started – don’t despair.
The good news is that medical research now appears to confirm that your weight gain may not be your fault at all, but a problem with you having internal organs. Even better, there is a new way – finally – to do something about those unwanted organs that once removed will lower your overall weight.
Respected U.S. nutritionist Hannah McTavish, spoke of the new program on the Oprah Winfrey show: “It’s real simple. You eat a lot of junk, you get fat. You’re lazy and sit in front of the computer all day surfing and eating. Well, with this diet you can carry on doing the same old things and still look like a million dollars. No exercise, no dieting, just straight weight loss.”
The simple operation that guarantees weight loss was first pioneered in China, where internal organs are taken out of recently executed mentally ill patients and sold to rich Americans. One of the doctors on the program noticed the dramatic weight loss on his subjects after removing their internal organs and sold the idea to the West.
“The doctors determine how much weight you need to lose, then they take out half of your internal organs so that you can still walk around and live. There’s no point in taking both of your lungs out because then you wouldn’t be able to breathe, so instead they take out one of your kidneys, maybe your spleen and a few yards of your intestinal tract. Weight loss is then dramatic and instantaneous,” Ms McTavish added.
The beauty of this slimming program is that many shortages in transplants can be solved purely because of the volume of people rushing to get slim again.
“I had the procedure done last week. They took out my left lung, a kidney, half of my liver and part of my rectum. I slimmed down quick enough to look fabulous just before my entrance into the Celebrity Big Brother house,” a barely alive minor celebrity told the Sun newspaper."
Scientists Reveal How Having Too Many Birthdays Can be Bad For You,https://www.dailysquib.co.uk/health/2192-scientists-reveal-how-having-too-many-birthdays-can-be-bad-for-you.html,2010,"The new findings were published in the US government’s ‘1001 vault’ where matters of great national importance are researched and filed for many, many years. The study has been ongoing since 1938 and  has stunned the 
world .
Deadly Findings
“These new findings are incredible news. After many years of research, and many birthdays I might add, we have found that having a lot of birthdays can kill you. Indeed, over half of the researchers who were working on the project are now dead, as well as thousands of study subjects,” Dr. Bill Underground, 94, told Science Weekly.
Sadly last week, Dr. Underground passed away and the research project on birthdays was passed on to his colleague, Jimmy Kimble, 91, for the remainder of the assignment."
Obama Wants to Give Free Food to All Americans Plus Health Care,https://www.dailysquib.co.uk/health/2208-obama-wants-to-give-free-food-to-all-americans-plus-health-care.html,2010,"“I f Health Care is a basic human right, what about food?” says the slogan for the new Obama Free Food For All campaign
“Free Burritos for everyone is our next Dem deal. Not one person shall go hungry in America. You want a steak? You got one. You want a cheesecake? You got two. This is going to revolutionise food in America forever,” Barack Obama told Congress yesterday.
The cost of Obama’s upcoming  Free Food For All  bill is estimated to be about 134 trillion dollars per annum and these are of course conservative estimates.
Fat people across America, (98% of the population), rejoiced with joy in restaurants and supermarkets across the country after the announcement was made.
Sharonda Latrina, a 322 lbs. Obama supporter from Chicago said this about the new Obama Free Food bill: “Hawt diggedy dayum, I just told my whole neighborhood about this new Free Food bill. We just went got twenty buckets of fried chicken.  Free food for life and free health care for life? I love Obama, he be the bomb.”
Obama’s Free Food For All campaign has taken America by storm, there’s only one slight problem — there is no money left in the US budget to pay for it, but  shhh  don’t tell the people or Obama  that ."
Obama Free Healthcare Begins,https://www.dailysquib.co.uk/health/2237-obama-free-healthcare-begins-in-2015.html,2010,"“I want my free health care now, where it at?” an Austin woman yells at the nurse as she is handed a bill for $56,000 after a minor hernia operation.
This is the reality of Obama’s so-called free health care, which officials say will only come into force after 2015. By that time, either Sarah Palin will be waving her gun around the White House or General Petraeus will have nuked half the Middle East. Besides,  Obamacare  practitioners are now saying that health care will not be free, it will have many, many strings attached to it.
Call centres across America have been inundated with people begging for ‘free health care’ after the landmark health care ruling a few weeks ago.
“Every few seconds  we get thousands of calls through our switchboard asking for free health care. Some of the calls are from as far as Guatemala and Mexico, they keep saying they want to come over for that free health care,” Anna Ross, a Medicare   worker told CBS.
The already bankrupted US economy is under great strain and now that half of South America has the idea in their heads that the US has got free health care, there is no stopping the deluge.
“We have enough poverty in the United States, where over half the population is below the poverty line and need urgent assistance, now we have the additional problem of 90% of Mexico wanting to cross our borders for free health care when there is none for our citizens. I just tell them to wait until 2015. That’s when you hear the shouting and cussing down the line,” Mrs Ross added."
Pistachios Can Reduce Your Cholesterol,https://www.dailysquib.co.uk/health/1086-pistachios-can-reduce-your-cholesterol.html,2007,
Cheap Flights for Thousands – A One-Way Ticket to Skin Cancer,https://www.dailysquib.co.uk/health/1109-cheap-flights-for-thousands-a-one-way-ticket-to-skin-cancer.html,2007,"The locals at the Mediterranean resort look on in disgust as another flock of English reprobates and thugs who have secured their holiday in Magaluf for the princely sum of £40 for two weeks of booze and vomit tuck into their chips and sausage meal.
Another obese red British man burps into his full English breakfast and takes another swig from a huge glass of cheap beer, his fifth this morning and all before 9.30."
New UK Health Plan Urges People to Die Younger,https://www.dailysquib.co.uk/health/1381-new-uk-health-plan-urges-people-to-die-younger.html,2008,"What with soaring council taxes, fuel taxes, food costs, heating increases, no security and a dismal pension to live on, people across Britain have a bleak existence ahead of them.
Some UK Health Services are advising their clients to die earlier and spare themselves the pain of living in a country which is now a broken shell deep in recession and with no hope of ever recovering.
“I was told by my Health Officer that I had thirty more years to live. It upset me a great deal and the thought of living for more than a few years in this country is driving me crazy,” Reg McFarlin, from Hammersmith told ITN’s London Tonight program.
Millions of people in the UK are now living in a form of purgatory, stuck in misery and waiting eagerly for their moment to come sooner and not later.
It seems being given thirty or forty more years to live in today’s Britain is proving too much for some people who in their eagerness to end their misery have taken to jumping off the cliffs of Dover in their thousands — and they’re the lucky ones."
