title,url,text,published_date,categories
Tio Moreno Tastes His Own Medicine,https://adobochronicles.com/2024/07/19/tio-moreno-tastes-his-own-medicine/,"Tio Moreno, self-proclaimed pro-China and anti-Filipino blogger, recently learned the meaning of poetic justice. After lambasting the Filipino girl group BINI for covering their faces at the airport, even going so far as to mock them with a selfie in ridiculous getup, Moreno must have felt quite pleased with his antics. He described the girls as “not beautiful,” hiding behind their masks. However, BINI, demonstrating wit sharper than Moreno’s misguided satire, arrived for their concert clad in identical hooded sweaters and full face masks. In an ironic twist, they effectively turned Moreno’s critique into a fashion statement. It appears Moreno underestimated the creativity of BINI and the amusement of the public, who watched as his own ridicule turned against him. Moreno’s face might be hidden, but his embarrassment is in full view. Be careful what you ask for, Moreno—satire, like karma, has a funny way of coming back around.",2024-07-19T02:37:43-07:00,"Entertainment, Social Media"
‘Taylor Swift Concert Stadium’ — What If…?,https://adobochronicles.com/2024/07/15/taylor-swift-concert-stadium-what-if/,"What if Clark Airport’s announcement about building a stadium for a Taylor Swift concert in 2028 is actually a masterstroke of strategic planning? Imagine the foresight! Swift, having filled Melbourne Cricket Grounds to its 96,000 capacity, would need an equally massive venue in the Philippines, right? Forget that we already have the Philippine Arena with its 55,000 seats; Clark Airport aims to double that, although it would still not be anywhere near the 132,000-capacity Narendri Modi Stadium in India. But what if—and here’s the twist—the stadium isn’t just for one night with Swift? What if the venue’s real purpose is for a future Pope Francis mass when he visits the Philippines? Imagine the outcry: “Why build a stadium for one mass?” The sensationalism would be off the charts! Or would it? It’s almost as if the Philippines is planning for something bigger, like a multi-use facility for both rock stars and religious icons. But who needs practicality when you can have hype? Now that’s a real “what if” scenario!",2024-07-15T12:54:29-07:00,"Entertainment, International, Media, Music, National News, Social Media"
Ang Alat Ni Ogie Diaz,https://adobochronicles.com/2024/06/22/ang-alat-ni-ogie-diaz/,"Ay, Ogie Diaz, ang ating resident na chicken critic! Aba, bakit kailangan pang mag-demand na bawasan ang alat ng KFC chicken? Parang big deal na ba ‘to, kuya? Kung sobrang alat para sa’yo, aba, lumipat ka na lang sa Jollibee o Max’s! Simpleng “saltlution” lang, di ba? Parang bawat kibot eh kailangang ipost sa social media. Ano na, next week, may magrereklamo na ang sinigang masyadong maasim, o ang halo-halo sobrang tamis? Hala, baka pati adobo eh pag-usapan na dahil kulang sa toyo. Baka naman hindi talaga alat ang problema, kundi paghabol sa likes at shares? Sana, next time, chicken na lang ang iprito mo, at hindi ang social media. Ang tunay na solusyon: hanapin ang pagkain na swak sa panlasa mo, at hayaan mo na ang iba sa alat ng buhay nila!",2024-06-22T21:42:53-07:00,"Entertainment, Food, Social Media"
Vice Ganda And The Imaginary West Philippine Sea,https://adobochronicles.com/2024/07/01/vice-ganda-and-the-imaginary-west-philippine-sea/,"Vice Ganda’s bold analogy likening LGBT existence to the West Philippine Sea might need a little navigational adjustment. When she said, “Ang ating totoong sarili o pagkatao ay parang West Philippine Sea, hindi nila pwedeng angkinin at baguhin,” she perhaps forgot that the world community doesn’t officially recognize the West Philippine Sea. Much like a mystical island on the horizon, the West Philippine Sea was conjured up by former President NoyNoy Aquino in 2012 through Administrative Order No. 29. Yet, global geographical maps remain unshaken, and the West Philippine Sea endures mainly in the minds of a hopeful few. Unlike this cartographical phantasm, the realities of LGBT communities are vivid and undeniable. Vice Ganda’s comparison is poetic but perhaps misses the mark, because the existence and struggles of LGBT individuals are as concrete and undeniable as the seas that surround us, official recognition or not.",2024-07-01T14:46:19-07:00,"Entertainment, International, LGBT, Politics, Social Media"
Kitty Duterte The Odd Ball Of The Duterte Dynasty?,https://adobochronicles.com/2024/06/25/kitty-duterte-the-odd-ball-of-the-duterte-dynasty/,"In the fantastical realm of Philippine politics, the Duterte dynasty has reached new heights of familial nepotism. With Sara Duterte as president, and her father Rodrigo and siblings Paolo and Baste comfortably nestled in Senate seats, one might wonder if there’s room for anyone else. Enter Kitty Duterte, the 19-year-old black sheep of the family. While her kin are busy crafting laws and steering the nation, Kitty has chosen a different path: the glitzy world of entertainment. Known more for her rhinoplasty, jawtox, and lip fillers than for any legislative ambition, Kitty eschews the political circus for the glamour of the runway. Perhaps she dreams of joining the ranks of Vice Ganda, Heart Evangelista, and Pia Wurtzbach, leaving the heavy lifting of governance to her more politically-inclined relatives. Cheers to Kitty, who proves that not every Duterte has to wield a gavel; some are content with a perfectly contoured face.",2024-06-25T16:15:19-07:00,"Beauty, Entertainment, Politics, Social Media"
Thank God It’s Fried Day!,https://adobochronicles.com/2024/06/20/thank-god-its-fried-day/,"“Thank God It’s Fried Day” is here again, folks, and boy, what a feast we have! Harry Roque’s sizzling bromance with Mister Supranational Philippines 2016 has everyone asking if the real contest was for the biggest bromance blunder. Rendon Labador and Rosmar, now persona non grata courtesy of Coron, Palawan, seem to be taking “fried” a little too literally after their spat with the mayor’s staff, and for reportedly refusing to pay for food they ordered from a vendor. Roque strikes again, claiming VP Sara Duterte is now the opposition leader, only to be promptly skewered by the Liberal Party’s spokesperson—Leile de Lima herself — ouch, that burn’s going to need some ointment. Diwata’s performance at the Santacruzan turned a religious tradition into a farce, leaving devotees questioning if they should start praying for divine fashion intervention, or simply sulk in a bowl of pares overload. And then there’s Vice Ganda, who apparently thinks the nation hasn’t had enough of his face and antics on TV, announcing yet another show. Filipinos collectively groaned, “Not again!” as they reached for the remote. Happy Fried Day! Till next time!",2024-06-20T15:09:22-07:00,"Entertainment, Politics, Social Media"
Vice Ganda Is No American Idol,https://adobochronicles.com/2024/06/18/vice-ganda-is-no-american-idol/,"In a move sure to redefine global entertainment standards, ABS-CBN has announced the export of its wildly original TV show, “Everybody Sing,” hosted by the inimitable Vice Ganda. This groundbreaking program, which bravely mimics the American hit “Don’t Forget the Lyrics!”, invites contestants to display their lyrical prowess for a chance to win… well, something far less than $1 million. While America and Britain export cultural behemoths like “American Idol” and “Britain’s Got Talent,” the Philippines graciously offers its homespun tribute act. Surely, global audiences will be spellbound by this karaoke-like contest. But let’s be honest—perhaps the country would be better off shipping out its exquisite capiz shell crafts or mouthwatering canned adobo instead. These unique cultural exports are far more likely to capture the world’s imagination and showcase the true richness of Filipino heritage, rather than a karaoke night in TV form.",2024-06-18T13:28:56-07:00,"Entertainment, Film and TV, Social Media"
The News Week In Review,https://adobochronicles.com/2024/06/06/the-news-week-in-review/,"*Now that the Ombudsman has ordered the preventive suspension of Alice Go as mayor of Capas, Tarlac, will the Filipino people finally be able to breathe some fresh air after weeks of Senate hearings where the only enlightenment that would aid legislation are working in a farm and not remembering one’s personal circumstances? *But lo and behold, the “I don’t remember, Your Honor” seems to be back in vengeance, this time from no less than former President Rodrigo Duterte whose own Health Secretary pointed fingers at him regarding some anomaly during the Covid-19 pandemic in the Philippines. *It’s PRIDE MONTH, but many in the LGBTQI community are disavowing their most visible “role model” Vice Ganda for shaming contestants to his noon-time show, forgetting that he himself has been captured on live TV doing the exact same thing he’s accused the male contestant of. Ganda now epitomizes the “non-apology apology” after he retracted his intention to apologize to the aggrieved contestants. *And the award of “Best Credit Grabber” goes to Maisug and SMNI (it’s a tie!) for claiming that the annual New York City Philippine Independence Day parade was their “rally” when in fact, their small contingent was a last-minute addition to this non-political event. *It’s no longer the DDS vs. the Loyalists when it comes to Philippine politics.  More and more Dilawan — from Leni Robredo to Antonio Carpio to Koko Pimentel — are joining the bandwagon for a new “UniTeam.” Even Maria Ressa and Leila de Lima have thrown in their support for Bongbong Marcos, all but endorsing his approach to the country’s foreign policy. Hey, even Davao City Mayor Basté Duterte is hinting that UniTeam is good for the country.",2024-06-06T15:18:39-07:00,"Entertainment, Government, Media, Politics"
Is GMA Network Finally Dropping Vice Ganda?,https://adobochronicles.com/2024/06/11/is-gma-network-finally-dropping-vice-ganda/,"In a stunning twist of network drama, GMA Network might just be doing the unthinkable: considering a life beyond Vice Ganda on “It’s Showtime.” Recent promotions conveniently omitted the flamboyant host, sparking wild speculation. Is GMA finally fed up with the reign of wigs and wit? Could they be plotting a revolution of bland predictability? Surely, the network isn’t daring enough to think viewers can endure noon without Vice’s comedic chaos. Maybe they believe that the show can survive on charm and charisma alone—or perhaps they’re preparing us for a host so average that Vice will look even more indispensable by contrast. Either way, this move could be GMA’s attempt at high-stakes entertainment, with viewers glued to their seats, not by the usual gags, but by the sheer suspense of wondering, “What on earth are they thinking?” Stay tuned, folks. The real show is just beginning.",2024-06-11T22:37:39-07:00,"Entertainment, Film and TV, Social Media"
There Is Only One Jukebox King!,https://adobochronicles.com/2024/05/10/there-is-only-one-jukebox-king/,"In a twist of irony worthy of a melodramatic ballad, the estate of the legendary Pinoy singer Eddie Peregrina has erupted in outrage over President Bongbong Marcos’ recent labeling of PDEA leaks witness Jonathan Morales as the “jukebox.” In a scathing statement, Peregrina’s estate vehemently objected, declaring that the title of “Jukebox King” was a sacred mantle bestowed upon Peregrina himself. “Just as there can only be one superstar, one star for all seasons, one Asia’s songbird, and one diamond star, there can only be one Jukebox King, and that honor has long belonged to Peregrina,” the estate’s spokesperson proclaimed, their voice echoing with the passion of a thousand karaoke renditions. As the nation watches this melodramatic showdown unfold, it seems the echoes of the jukebox will continue to reverberate through the annals of Philippine music history, leaving us to ponder: who truly deserves the crown of the Jukebox Kingdom?",2024-05-10T15:24:49-07:00,"Entertainment, Music, Politics"
Life’s A Blur In Entertainment And Politics,https://adobochronicles.com/2024/04/22/lifes-a-blur-in-entertainment-and-politics/,"Welcome to the Philippines, where the lines between showbiz and politics are a blur like a pair of ripe cataracts. It’s a comedy we enjoy on seamless transitions into the hallowed halls of Congress, leaving us wondering if we’re watching a noon-time variety show or a legislative session. In this surreal landscape, entertainment personalities double as politicians, and politicians put on a show to keep us entertained. Perhaps it’s time for a radical shift: let’s appoint gossip queen Cristy Fermin as Congress’s spokesperson, because who better to navigate the drama of politics than someone who thrives on scandal? And why stop there? Let’s relocate TV networks to the Batasan or even Malacañang—after all, with a Vice Ganda and a President Ganda, the line between reality and comedy has never been thinner. Who needs political debates when you have primetime entertainment?",2024-04-22T15:53:58-07:00,"Entertainment, Politics"
Regine Velasquez: Laughter In Church Robs Netizens The Wrong Way,https://adobochronicles.com/2024/04/29/regine-velasquez-laughter-in-church-robs-netizens-the-wrong-way/,"In the holy court of social media, a meme reigns supreme, as ABS-CBN’s Charo Santos allegedly channels her inner moral compass to castigate songstress Regine Velasquez for her unholy laughter during a sacred ceremony. The image captures the divine drama of high society mingling amidst the pews, where gossip flows like holy water and sanctimony drips from every pixel. Netizens, those devout arbiters of virtue, clutch their virtual pearls, decrying Regine’s alleged sacrilege as a stain on her path to National Artist status. Forget famine, war, or corruption; the real sin is a hearty chuckle in the House of God. As the digital mob gathers its pitchforks and hashtags, one can’t help but marvel at the absurdity of it all. In the temple of social media righteousness, even laughter becomes a cardinal sin. Perhaps it’s time we kneel not in judgment but in humility, for in the realm of memes, the holy and the hilarious often intertwine in ways both divine and absurd.",2024-04-29T05:05:05-07:00,"Entertainment, Religion, Social Media"
Congratulations To Rigoberto Tiglao For Promotion At Manila Times!,https://adobochronicles.com/2024/04/30/congratulations-to-rigoberto-tiglao-for-promotion-at-manila-times/,"From editor to book author. From presidential spokesperson to ambassador. And now, from opinion columnist to entertainment editor! Congratulations to Rigoberto “Bobi” Dikit Tiglao for a well-deserved promotion at The Manila Times. He sure will give Cristy  Fermin a run for her money!",2024-04-30T18:06:12-07:00,"Entertainment, Media"
7-Month-Old Baby Idolizes JK!,https://adobochronicles.com/2024/03/31/7-month-old-baby-idolizes-jk/,"In a bizarre twist of infant fandom, a couple proudly proclaims their 7-month-old as a die-hard admirer of a JK, citing a brief encounter during a concert where said pop star briefly held the baby. This raises eyebrows faster than a toddler with a marker near freshly painted walls. One wonders: has the baby secretly been binge-listening to the artist’s discography during naptime? Or perhaps the parents are projecting their own fandom onto their impressionable offspring? It’s hard to imagine a child whose vocabulary likely consists of “goo-goo” and “ga-ga” being an avid follower of any celebrity. But hey, in the era of social media stardom, even diapers have influencers. Let’s hope this infant idolization doesn’t lead to diaper changes inspired by autographs or lullabies replaced with pop hits. After all, it’s never too early for parents to distinguish between their own interests and their child’s actual preferences.",2024-03-31T21:02:12-07:00,"Entertainment, Music"
Miss Universe Philippines The Drag Show,https://adobochronicles.com/2024/04/12/miss-universe-philippines-the-drag-show/,"In a plot twist that could rival a telenovela, Miss Universe Philippines throws tradition out the window and welcomes RuPaul’s Drag Race alum Marina Summers as a guest performer for coronation night. Move over, biological beauty queens, because drag royalty is here to sashay onto the stage. While the Miss Universe Organization cautiously dips its toe into the waters of inclusivity (transgender and  single moms, as well as senior citizens),  MUP boldly cannonballs in, breaking through ceilings and leaving jaws on the floor. Who needs an abundance of homegrown talent when you can have the flair and flamboyance of drag performers stealing the spotlight? And why stop at Marina Summers? Let’s throw in Pura Luka Vega for good measure, because controversy and outrage make for excellent ratings. Who needs tradition when you can have a glittering extravaganza of fabulousness? And what a great consolation for the MUP contestant who will end up short as 3rd runner-up like Summers. In the end, it’s not about crowning a queen, but about putting on a show that leaves everyone gagging for more.",2024-04-12T04:13:37-07:00,"Beauty, Entertainment"
"Move Over, “Love The Philippines,” Here Comes “Love Disneyland!”",https://adobochronicles.com/2024/04/03/move-over-love-the-philippines-here-comes-love-disneyland/,"In a groundbreaking leap towards global tourism glory, the Philippines proudly unveils its latest masterpiece: Clark Disney. Because what’s more authentic than experiencing the wonders of a Filipino vacation through the lens of Mickey Mouse and friends? Forget pristine beaches and breathtaking landscapes; it’s time to embrace the magic of mass-produced entertainment! Who needs natural wonders when you can have oversized cartoon characters and artificially flavored fun? With an international airport conveniently located nearby, visitors can now fly straight into the waiting arms of commercialized enchantment. Move over, Boracay and El Nido; there’s a new sheriff in town, and it’s wearing mouse ears.Sure, some purists might mourn the loss of cultural authenticity, but who needs that when you can have simulated joy? So let’s raise our Mickey-shaped cocktails and toast to the future of tourism in the Philippines, where the motto is no longer “Love The Philippines” but “Love Disney!” Because nothing says cultural enrichment quite like a selfie with Goofy.",2024-04-03T03:18:40-07:00,"Entertainment, Tourism"
There’s No Business Like Pinoy Show Business,https://adobochronicles.com/2024/03/20/theres-no-business-like-pinoy-show-business/,"In the ever-entertaining circus of Philippine showbiz, where alliances shift faster than a telenovela plot twist, the recent agreement by rival media giants ABS-CBN and GMA to air “It’s Showtime” on the Kapuso channel feels like a scene straight out of a scripted drama. As popcorn sales skyrocket with the signing of the ABS-CBN-GMA contract, another spectacle is set to unfold on the Senate Channel, where a different kind of “showtime” awaits viewers. With Senate President Migs Zubiri signing an arrest warrant for Pastor Apollo Quiboloy, it’s a crossover event that even the most imaginative scriptwriters couldn’t concoct. Amidst the glitz and glamour, political intrigue takes the stage, blurring the lines between reality TV and real-life drama. As the audience eagerly awaits the next episode, one thing is for sure: in Philippine showbiz, the show must go on, even if it means tuning into the Senate Channel for the latest blockbuster showdown.",2024-03-20T14:03:21-07:00,"Entertainment, Law Enforcement, Politics"
National Artist?,https://adobochronicles.com/2024/03/24/national-artist/,"In a world where national artistic recognition resembles a popularity contest more than a celebration of genuine talent and cultural contribution, the true essence of being a “national artist” seems lost in a cacophony of commercialized jingles and catchy monikers. Merely churning out a perennial Christmas earworm (Jose Mari Chan) or boasting concocted titles like “Asia’s Songbird” (Regine Velasquez) or “Star for All Seasons” (Vilma Santos) does not an artistic legacy make. Yet, amidst the clamor for chart-topping hits and box office or concert successes, the subtlety of true artistic mastery is often drowned out.  It’s like Taylor Swift being awarded a Pulitzer Prize. Should we then bestow the esteemed title of national artist upon those who merely excel in slapstick films or command large fan bases? By that logic, we might as well nominate Vice Ganda or the comedic trio Tito, Vic, and Joey for this prestigious honor. In this age of superficial acclaim, let us not confuse fleeting fame with enduring artistic brilliance, lest we risk reducing the title of national artist to nothing more than a hollow accolade.",2024-03-24T16:17:10-07:00,"Arts, Entertainment, Film and TV, Music"
An Adobo Chronicles Review Of Benny Blanco,https://adobochronicles.com/2024/03/09/an-adobo-chronicles-review-of-benny-blanco/,"Ah, Benny Blanco, the epitome of untamed expression and questionable hygiene. His recent escapade of trashing Jollibee might have elicited chuckles, but his unkempt appearance invites more scrutiny than his antics. One wonders what Selena Gomez saw in this disheveled figure, with hair resembling uncooked spaghetti dipped in fish sauce, and a face that screams “I haven’t seen a shower in weeks.” Perhaps she has a fondness for projects in dire need of a makeover. While Blanco may spew foul language with gusto, one can’t help but imagine his breath follows suit, especially after all the foods he ingests in his videos. Jollibee’s sweet spaghetti, despite its polarizing reception, looks positively appetizing compared to the spectacle of Benny Blanco. Let’s hope Selena steers clear of any hair caressing during intimate moments, for fear of encountering a tangled mess ripe with mystery odors.",2024-03-09T02:27:00-08:00,"Entertainment, Food"
Filipino Girl Singing Group 4th Impact Barking For Support For Their 200 Pups!,https://adobochronicles.com/2024/03/04/filipino-girl-singing-group-4th-impact-barking-for-support-for-their-200-pups/,"In a plot twist that would make even the most melodramatic teleserye blush, 4th Impact, the Filipino singing sensation, has shifted their plea for support from their fledgling music career to their staggering collection of furry friends. With a kennel bursting at the seams with a whopping 200 dogs, the sisters have pivoted from harmonizing on stage to orchestrating a cacophony of barks in their neighborhood. Claiming their fur-filled menagerie began innocently with a few pups gifted by fans, questions arise about their ability to manage such a sizable pack. Now, facing complaints from sleep-deprived neighbors, the sisters seek funds to create a haven for their four-legged companions. As netizens, both canine enthusiasts and skeptics, raise eyebrows at their plea for financial assistance, parallels are drawn between their purported irresponsibility with pets and their perceived struggles in the music industry. Is this canine caper a reflection of a larger pattern of mismanagement? Only time—and perhaps a well-tuned chorus of barks—will tell.",2024-03-04T03:00:44-08:00,"Entertainment, Social Media"
